title,author,book_url,date_pub,date_finished,date_started,num_pages,my_rating,review,shelves,progress_json,genres,language
El lector de Julio Verne (Episodios de una guerra interminable #2),"Grandes, Almudena",https://www.goodreads.com/book/show/13519707-el-lector-de-julio-verne,2012,"Jun 30, 2015","Jun 25, 2015",417,4,NA,read,"[{""date"":""June 25, 2015"",""page"":null,""percent"":null,""event"":""started""},{""date"":""June 25, 2015"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""June 30, 2015"",""page"":null,""percent"":null,""event"":""finished""}]",Fiction; Historical Fiction; Spain; Spanish Literature; Historical; Classics; Audiobook; ...more,Spanish; Castilian
"Las tres bodas de Manolita (Episodios de una guerra interminable, #3)","Grandes, Almudena",https://www.goodreads.com/book/show/20623749-las-tres-bodas-de-manolita,2013,"Jun 24, 2015","Jun 17, 2015",768,5,NA,read; left-a-mark,"[{""date"":""June 17, 2015"",""page"":null,""percent"":null,""event"":""started""},{""date"":""June 17, 2015"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""June 24, 2015"",""page"":null,""percent"":null,""event"":""finished""},{""date"":""August 15, 2025"",""page"":null,""percent"":null,""event"":""shelved-as""}]",Historical Fiction; Fiction; Spanish Literature; Spain; Historical; Romance; Audiobook; ...more,Spanish; Castilian
Persuasion,"Austen, Jane",https://www.goodreads.com/book/show/2156.Persuasion,"Dec 20, 1817","Jun 02, 2015","May 26, 2015",249,4,NA,read,"[{""date"":""January 19, 2012"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""May 26, 2015"",""page"":null,""percent"":null,""event"":""started""},{""date"":""June 2, 2015"",""page"":null,""percent"":null,""event"":""finished""}]",Classics; Fiction; Romance; Historical Fiction; Audiobook; Historical; Literature; ...more,English
Hamlet,"Shakespeare, William",https://www.goodreads.com/book/show/1420.Hamlet,1601,"May 20, 2015","May 11, 2015",289,4,NA,read,"[{""date"":""May 11, 2015"",""page"":null,""percent"":null,""event"":""started""},{""date"":""May 11, 2015"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""May 20, 2015"",""page"":null,""percent"":null,""event"":""finished""}]",Classics; Plays; Fiction; Shakespeare; Drama; School; Literature; ...more,English
¡Muuu!,"Safier, David",https://www.goodreads.com/book/show/18662595-muuu,2012,"May 10, 2015","May 05, 2015",328,2,NA,read,"[{""date"":""May 5, 2015"",""page"":null,""percent"":null,""event"":""started""},{""date"":""May 5, 2015"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""May 10, 2015"",""page"":null,""percent"":null,""event"":""finished""}]",Humor; Fiction; Novels; German Literature; Audiobook; Fantasy; Roman; ...more,Spanish; Castilian
Pride and Prejudice,"Austen, Jane",https://www.goodreads.com/book/show/1885.Pride_and_Prejudice,"Jan 28, 1813","Apr 28, 2015","Apr 25, 2015",279,3,NA,read,"[{""date"":""January 19, 2012"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""April 25, 2015"",""page"":null,""percent"":null,""event"":""started""},{""date"":""April 28, 2015"",""page"":null,""percent"":null,""event"":""finished""}]",Classics; Romance; Fiction; Historical Fiction; Historical; Literature; Audiobook; ...more,English
"Dragonfly in Amber (Outlander, #2)","Gabaldon, Diana",https://www.goodreads.com/book/show/5364.Dragonfly_in_Amber,"Jul 01, 1992","Jan 06, 2015","Dec 17, 2014",947,2,NA,read,"[{""date"":""December 17, 2014"",""page"":null,""percent"":null,""event"":""started""},{""date"":""December 17, 2014"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""January 6, 2015"",""page"":null,""percent"":null,""event"":""finished""}]",Historical Fiction; Romance; Fantasy; Fiction; Time Travel; Historical; Historical Romance; ...more,English
"Outlander (Outlander, #1)","Gabaldon, Diana",https://www.goodreads.com/book/show/10964.Outlander,"Jun 01, 1991","Dec 17, 2014","Dec 15, 2014",850,3,NA,read,"[{""date"":""December 15, 2014"",""page"":null,""percent"":null,""event"":""started""},{""date"":""December 15, 2014"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""December 17, 2014"",""page"":null,""percent"":null,""event"":""finished""}]",Historical Fiction; Romance; Fantasy; Fiction; Time Travel; Historical; Historical Romance; ...more,English
Crónica de una muerte anunciada,"García Márquez, Gabriel",https://www.goodreads.com/book/show/216599.Cr_nica_de_una_muerte_anunciada,1981,"Nov 04, 2014","Oct 31, 2014",125,5,NA,read,"[{""date"":""October 31, 2014"",""page"":null,""percent"":null,""event"":""started""},{""date"":""October 31, 2014"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""October 31, 2014"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""November 4, 2014"",""page"":null,""percent"":null,""event"":""finished""}]",Fiction; Classics; Magical Realism; School; Spanish Literature; Literature; Novels; ...more,Spanish; Castilian
31 noches,"Escolar, Ignacio",https://www.goodreads.com/book/show/16061026-31-noches,"Jan 01, 2012","Oct 23, 2014","Oct 21, 2014",176,3,NA,read,"[{""date"":""October 21, 2014"",""page"":null,""percent"":null,""event"":""started""},{""date"":""October 21, 2014"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""October 23, 2014"",""page"":null,""percent"":null,""event"":""finished""}]",Fiction,Spanish; Castilian
